class,index,kaggle_folder
tench,0,n01440764
goldfish,1,n01443537
great white shark,2,n01484850
tiger shark,3,n01491361
hammerhead,4,n01494475
electric ray,5,n01496331
stingray,6,n01498041
cock,7,n01514668
hen,8,n01514859
ostrich,9,n01518878
brambling,10,n01530575
goldfinch,11,n01531178
house finch,12,n01532829
junco,13,n01534433
indigo bunting,14,n01537544
robin,15,n01558993
bulbul,16,n01560419
jay,17,n01580077
magpie,18,n01582220
chickadee,19,n01592084
water ouzel,20,n01601694
kite,21,n01608432
bald eagle,22,n01614925
vulture,23,n01616318
great grey owl,24,n01622779
European fire salamander,25,n01629819
common newt,26,n01630670
eft,27,n01631663
spotted salamander,28,n01632458
axolotl,29,n01632777
bullfrog,30,n01641577
tree frog,31,n01644373
tailed frog,32,n01644900
loggerhead,33,n01664065
leatherback turtle,34,n01665541
mud turtle,35,n01667114
terrapin,36,n01667778
box turtle,37,n01669191
banded gecko,38,n01675722
common iguana,39,n01677366
American chameleon,40,n01682714
whiptail,41,n01685808
agama,42,n01687978
frilled lizard,43,n01688243
alligator lizard,44,n01689811
Gila monster,45,n01692333
green lizard,46,n01693334
African chameleon,47,n01694178
Komodo dragon,48,n01695060
African crocodile,49,n01697457
American alligator,50,n01698640
triceratops,51,n01704323
thunder snake,52,n01728572
ringneck snake,53,n01728920
hognose snake,54,n01729322
green snake,55,n01729977
king snake,56,n01734418
garter snake,57,n01735189
water snake,58,n01737021
vine snake,59,n01739381
night snake,60,n01740131
boa constrictor,61,n01742172
rock python,62,n01744401
Indian cobra,63,n01748264
green mamba,64,n01749939
sea snake,65,n01751748
horned viper,66,n01753488
diamondback,67,n01755581
sidewinder,68,n01756291
trilobite,69,n01768244
harvestman,70,n01770081
scorpion,71,n01770393
black and gold garden spider,72,n01773157
barn spider,73,n01773549
garden spider,74,n01773797
black widow,75,n01774384
tarantula,76,n01774750
wolf spider,77,n01775062
tick,78,n01776313
centipede,79,n01784675
black grouse,80,n01795545
ptarmigan,81,n01796340
ruffed grouse,82,n01797886
prairie chicken,83,n01798484
peacock,84,n01806143
quail,85,n01806567
partridge,86,n01807496
African grey,87,n01817953
macaw,88,n01818515
sulphur-crested cockatoo,89,n01819313
lorikeet,90,n01820546
coucal,91,n01824575
bee eater,92,n01828970
hornbill,93,n01829413
hummingbird,94,n01833805
jacamar,95,n01843065
toucan,96,n01843383
drake,97,n01847000
red-breasted merganser,98,n01855032
goose,99,n01855672
black swan,100,n01860187
tusker,101,n01871265
echidna,102,n01872401
platypus,103,n01873310
wallaby,104,n01877812
koala,105,n01882714
wombat,106,n01883070
jellyfish,107,n01910747
sea anemone,108,n01914609
brain coral,109,n01917289
flatworm,110,n01924916
nematode,111,n01930112
conch,112,n01943899
snail,113,n01944390
slug,114,n01945685
sea slug,115,n01950731
chiton,116,n01955084
chambered nautilus,117,n01968897
Dungeness crab,118,n01978287
rock crab,119,n01978455
fiddler crab,120,n01980166
king crab,121,n01981276
American lobster,122,n01983481
spiny lobster,123,n01984695
crayfish,124,n01985128
hermit crab,125,n01986214
isopod,126,n01990800
white stork,127,n02002556
black stork,128,n02002724
spoonbill,129,n02006656
flamingo,130,n02007558
little blue heron,131,n02009229
American egret,132,n02009912
bittern,133,n02011460
crane,134,n02012849
limpkin,135,n02013706
European gallinule,136,n02017213
American coot,137,n02018207
bustard,138,n02018795
ruddy turnstone,139,n02025239
red-backed sandpiper,140,n02027492
redshank,141,n02028035
dowitcher,142,n02033041
oystercatcher,143,n02037110
pelican,144,n02051845
king penguin,145,n02056570
albatross,146,n02058221
grey whale,147,n02066245
killer whale,148,n02071294
dugong,149,n02074367
sea lion,150,n02077923
Chihuahua,151,n02085620
Japanese spaniel,152,n02085782
Maltese dog,153,n02085936
Pekinese,154,n02086079
Shih-Tzu,155,n02086240
Blenheim spaniel,156,n02086646
papillon,157,n02086910
toy terrier,158,n02087046
Rhodesian ridgeback,159,n02087394
Afghan hound,160,n02088094
basset,161,n02088238
beagle,162,n02088364
bloodhound,163,n02088466
bluetick,164,n02088632
black-and-tan coonhound,165,n02089078
Walker hound,166,n02089867
English foxhound,167,n02089973
redbone,168,n02090379
borzoi,169,n02090622
Irish wolfhound,170,n02090721
Italian greyhound,171,n02091032
whippet,172,n02091134
Ibizan hound,173,n02091244
Norwegian elkhound,174,n02091467
otterhound,175,n02091635
Saluki,176,n02091831
Scottish deerhound,177,n02092002
Weimaraner,178,n02092339
Staffordshire bullterrier,179,n02093256
American Staffordshire terrier,180,n02093428
Bedlington terrier,181,n02093647
Border terrier,182,n02093754
Kerry blue terrier,183,n02093859
Irish terrier,184,n02093991
Norfolk terrier,185,n02094114
Norwich terrier,186,n02094258
Yorkshire terrier,187,n02094433
wire-haired fox terrier,188,n02095314
Lakeland terrier,189,n02095570
Sealyham terrier,190,n02095889
Airedale,191,n02096051
cairn,192,n02096177
Australian terrier,193,n02096294
Dandie Dinmont,194,n02096437
Boston bull,195,n02096585
miniature schnauzer,196,n02097047
giant schnauzer,197,n02097130
standard schnauzer,198,n02097209
Scotch terrier,199,n02097298
Tibetan terrier,200,n02097474
silky terrier,201,n02097658
soft-coated wheaten terrier,202,n02098105
West Highland white terrier,203,n02098286
Lhasa,204,n02098413
flat-coated retriever,205,n02099267
curly-coated retriever,206,n02099429
golden retriever,207,n02099601
Labrador retriever,208,n02099712
Chesapeake Bay retriever,209,n02099849
German short-haired pointer,210,n02100236
vizsla,211,n02100583
English setter,212,n02100735
Irish setter,213,n02100877
Gordon setter,214,n02101006
Brittany spaniel,215,n02101388
clumber,216,n02101556
English springer,217,n02102040
Welsh springer spaniel,218,n02102177
cocker spaniel,219,n02102318
Sussex spaniel,220,n02102480
Irish water spaniel,221,n02102973
kuvasz,222,n02104029
schipperke,223,n02104365
groenendael,224,n02105056
malinois,225,n02105162
briard,226,n02105251
kelpie,227,n02105412
komondor,228,n02105505
Old English sheepdog,229,n02105641
Shetland sheepdog,230,n02105855
collie,231,n02106030
Border collie,232,n02106166
Bouvier des Flandres,233,n02106382
Rottweiler,234,n02106550
German shepherd,235,n02106662
Doberman,236,n02107142
